#,Symbol,Last Trade,Change,% Change,Description,P/E (ttm),Dividend Yield,Notes, 
67,AAPL,181.88,-2.2729,-1.23,Apple Inc,29.16,0.53,, 
75,ABT,112.69,+0.63,+0.56,Abbott Laboratories,34.15,1.95,, 
116,ACN,371.91,+0.93,+0.25,Accenture Plc          F,33.62,1.39,, 
126,ADI,187.30,+0.9798,+0.53,Analog Devices Inc,28.20,1.84,, 
134,ADP,252.05,+1.1476,+0.46,Auto Data Processing,29.05,2.22,, 
72,ADSK,260.37,-1.80,-0.69,Autodesk Inc,61.76,--,, 
93,AI,29.13,-0.115,-0.39,C3 Ai Inc,,--,(Notes), 
74,ALB,116.91,+2.515,+2.20,Albemarle Corp,4.26,1.37,, 
108,AMAT,187.98,+1.79,+0.96,Applied Materials,22.88,0.68,, 
85,AMZN,168.35,-2.6301,-1.54,Amazon.Com Inc,59.43,--,, 
112,ARKF,28.28,+0.1502,+0.53,Ark Fintech Innovation,,--,, 
113,ARKG,31.55,+0.65,+2.10,Ark Genomic Revolution,,--,, 
101,ARKK,51.19,+0.69,+1.37,Ark Innovation Etf,,--,, 
23,AVGO,1259.93,-2.29,-0.18,Broadcom Inc,38.36,1.67,, 
87,BA,204.66,+1.28,+0.63,Boeing Co,,--,, 
32,BABA,73.67,+0.28,+0.38,Alibaba Group Hldg Ltd F,13.57,1.36,, 
137,BDX,239.33,+0.72,+0.30,Becton Dickinson&Co,54.77,1.59,, 
106,BE,11.80,+0.085,+0.73,Bloom Energy Corp,,--,(Notes), 
81,BIDU,106.92,+0.2122,+0.20,Baidu Inc              F,12.42,--,, 
11,BIO,330.83,+2.92,+0.89,Bio-Rad Labs Inc,,--,, 
9,BLK,797.19,+11.79,+1.50,Blackrock Inc,21.31,2.56,, 
120,BRK/A,604700.01,+3699.99,+0.62,Berkshire Hathaway,11.26,--,, 
10,BRK/B,402.43,+3.745,+0.94,Berkshire Hathaway,11.32,--,, 
38,BSX,65.82,-0.135,-0.20,Boston Scientific Co,60.72,--,, 
132,BYDDY,46.94,-0.232,-0.49,Byd Co Ltd             F,16.97,0.68,, 
48,BYND,6.88,+0.22,+3.30,Beyond Meat Inc,,--,, 
99,C,54.98,+1.00,+1.85,Citigroup Inc,13.34,3.86,, 
130,CCI,107.10,+1.30,+1.23,Crown Castle Inc,31.27,5.85,, 
12,CGC,3.57,+0.05,+1.42,Canopy Growth Corp     F,,--,, 
57,CGNX,38.75,+2.60,+7.19,Cognex Corp,38.81,0.77,(Notes), 
136,CMCSA,41.96,-0.06,-0.14,Comcast Corporation Cl A,11.28,2.96,, 
125,CMRE,11.22,+0.085,+0.76,Costamare Inc          F,3.93,4.10,, 
127,COIN,167.40,+7.02,+4.38,Coinbase Global Inc,,--,, 
58,COST,721.24,-0.94,-0.13,Costco Wholesale Co,49.24,0.57,, 
49,CRM,290.00,+0.85,+0.29,Salesforce Inc,109.35,--,, 
100,CRSP,83.62,+4.58,+5.79,Crispr Therapeutics    F,,--,, 
79,CSX,37.04,+0.04,+0.11,Csx Corp,19.84,1.19,, 
27,CVS,76.96,+0.5462,+0.71,Cvs Health Corp,11.95,3.46,(Notes), 
95,DASH,122.57,+2.56,+2.13,Doordash Inc,,--,, 
31,DBX,32.62,+0.205,+0.63,Dropbox Inc,19.91,--,, 
28,DELL,83.12,-2.92,-3.39,Dell Technologies Inc,23.26,1.78,, 
42,DHT,11.45,+0.15,+1.33,Dht Maritime Hld Inc   F,11.41,7.69,, 
114,DIS,112.47,+0.91,+0.82,Walt Disney Co,66.97,0.80,, 
2,DOCU,51.36,+0.27,+0.53,Docusign Inc,203.06,--,, 
51,DT,52.35,-0.415,-0.79,Dynatrace Inc,79.29,--,, 
140,DVA,119.85,-3.56,-2.88,Davita Inc,15.31,--,, 
76,EDIT,8.25,+0.33,+4.17,Editas Medicine Incorpor,,--,(Notes), 
139,EFX,258.24,+7.90,+3.16,Equifax Inc,56.35,0.60,, 
138,EMR,105.96,+0.245,+0.23,Emerson Electric Co,30.50,1.98,, 
135,EW,85.70,-0.34,-0.40,Edwards Lifesciences,37.50,--,, 
14,EWA,23.62,+0.245,+1.05,Ishares Msci Australia,54.45,3.85,, 
37,EWS,18.10,+0.31,+1.74,Ishares Msci Singapore,12.61,6.69,, 
88,F,12.41,+0.18,+1.47,Ford Motor Co,12.02,6.29,, 
52,FDN,202.36,-0.61,-0.30,Fr Tr Dj Intnt Idx,,--,, 
90,FDX,236.74,-0.09,-0.04,Fedex Corp,14.47,2.13,, 
123,FERG,195.72,+2.1698,+1.12,Ferguson Plc New       F,21.70,1.61,, 
98,FMCC,1.07,-0.01,-0.93,Federal Home Ln Mtg Corp,,--,, 
96,FNMA,1.305,+0.01,+0.77,Federal Natl Mtg Assn,,--,, 
43,FRO,23.75,+0.54,+2.33,Frontline Plc          F,6.54,5.05,, 
131,FRSH,20.73,-0.54,-2.54,Freshworks Inc,,--,, 
40,GILD,73.49,+0.4498,+0.62,Gilead Sciences Inc,16.54,4.19,, 
35,GLD,185.21,+0.79,+0.43,Spdr Gold Shares Etf,8.63,--,, 
92,GLSI,10.73,+0.525,+5.15,Greenwich Lifesciences I,,--,, 
122,GOOG,142.96,-4.185,-2.84,Alphabet Inc Class C,25.43,--,, 
29,GWW,940.11,-4.29,-0.45,Ww Grainger Inc,25.82,0.79,, 
30,HUBS,607.78,-21.86,-3.47,Hubspot Inc,,--,, 
128,IBM,184.79,+1.2201,+0.66,Ibm Corp,22.84,3.59,, 
62,IFNNY,36.02,+0.415,+1.17,Infineon Tech Ag       F,14.28,1.06,, 
34,IHI,56.47,+0.18,+0.32,Ishares Us Medical,,0.51,, 
111,ILMN,143.63,+2.89,+2.05,Illumina Inc,,--,, 
118,INTC,44.61,+0.42,+0.95,Intel Corp,110.08,1.12,, 
4,INTU,659.13,+2.00,+0.30,Intuit Inc,71.90,0.55,(Notes), 
86,IPO,38.43,+0.6299,+1.67,Renaissance Ipo Etf,,--,, 
1,ISRG,378.30,-3.465,-0.91,Intuitive Surgical,75.97,--,, 
119,IZRL,20.99,+0.64,+3.14,Ark Israel Innovative,,--,, 
56,JD,23.67,+0.5255,+2.27,Jd Com Inc             F,10.94,2.62,, 
104,JMIA,4.17,+0.94,+29.10,Jumia Technologies A G F,,--,, 
50,JNJ,157.38,+1.64,+1.05,Johnson & Johnson,30.36,3.02,, 
39,JPM,179.26,+3.2325,+1.84,Jpmorgan Chase & Co,10.83,2.34,, 
