Symbol,Name,Industry
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Corp.,Financials
CI,CIGNA Corp.,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems,Information Technology
C,Citigroup Inc.,Financials
CTXS,Citrix Systems,Information Technology
CLF,Cliffs Natural Resources,Materials
CLX,Clorox Co.,Consumer Staples
CME,CME Group Inc.,Financials
CMS,CMS Energy,Utilities
COH,Coach Inc.,Consumer Discretionary
KO,Coca Cola Co.,Consumer Staples
CCE,Coca-Cola Enterprises,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast Corp.,Consumer Discretionary
CMA,Comerica Inc.,Financials
CSC,Computer Sciences Corp.,Information Technology
CAG,ConAgra Foods Inc.,Consumer Staples
COP,ConocoPhillips,Energy
CNX,CONSOL Energy Inc.,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CBE,Cooper Industries,Industrials
GLW,Corning Inc.,Industrials
COST,Costco Co.,Consumer Staples
CVH,Coventry Health Care Inc.,Health Care
COV,Covidien plc,Health Care
CCI,Crown Castle International Corp.,Telecommunications Services
CSX,CSX Corp.,Industrials
CMI,Cummins Inc.,Industrials
CVS,CVS Caremark Corp.,Consumer Staples
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Industrials
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,Health Care
DF,Dean Foods,Consumer Staples
DE,Deere & Co.,Industrials
DELL,Dell Inc.,Information Technology
DNR,Denbury Resources Inc.,Energy
XRAY,Dentsply International,Health Care
DVN,Devon Energy Corp.,Energy
DV,"DeVry, Inc.",Consumer Discretionary
DO,Diamond Offshore Drilling,Energy
DTV,DirecTV,Consumer Discretionary
DFS,Discover Financial Services,Financials
DISCA,Discovery Communications,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Resources,Utilities
RRD,Donnelley (R.R.) & Sons,Industrials
DOV,Dover Corp.,Industrials
DOW,Dow Chemical,Materials
DPS,Dr Pepper Snapple Group,Consumer Staples
DTE,DTE Energy Co.,Utilities
DD,Du Pont (E.I.),Materials
DUK,Duke Energy,Utilities
DNB,Dun & Bradstreet,Industrials
ETFC,E-Trade,Financials
EMN,Eastman Chemical,Materials
ETN,Eaton Corp.,Industrials
EBAY,eBay Inc.,Information Technology
ECL,Ecolab Inc.,Materials
EIX,Edison Int'l,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Information Technology
EMC,EMC Corp.,Information Technology
EMR,Emerson Electric,Industrials
ESV,Ensco plc,Energy
ETR,Entergy Corp.,Utilities
EOG,EOG Resources,Energy
EQT,EQT Corporation,Utilities
EFX,Equifax Inc.,Financials
EQR,Equity Residential,Financials
EL,Estee Lauder Cos.,Consumer Staples
EXC,Exelon Corp.,Utilities
EXPE,Expedia Inc.,Consumer Discretionary
EXPD,Expeditors Int'l,Industrials
ESRX,Express Scripts,Health Care
XOM,Exxon Mobil Corp.,Energy
FFIV,F5 Networks,Information Technology
FDO,Family Dollar Stores,Consumer Discretionary
FAST,Fastenal Co,Industrials
FII,Federated Investors Inc.,Financials
FDX,FedEx Corporation,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FHN,First Horizon National,Financials
FSLR,First Solar Inc,Industrials
FE,FirstEnergy Corp,Utilities
FISV,Fiserv Inc,Information Technology
FLIR,FLIR Systems,Information Technology
FLS,Flowserve Corporation,Industrials
FLR,Fluor Corp.,Industrials
FMC,FMC Corporation,Materials
FTI,FMC Technologies Inc.,Energy
F,Ford Motor,Consumer Discretionary
FRX,Forest Laboratories,Health Care
FOSL,"Fossil, Inc.",Consumer Discretionary
